,y_train,pred_q50_train,pred_q10_train,pred_q90_train
0,108000.0,88408.10866682391,73991.58358636271,151188.1452372931
1,85000.0,107436.20495270268,87192.14506821375,177230.26354737984
2,213400.0,232075.42918577034,186734.29384516174,302940.7607094692
3,124700.0,125547.82190195483,100239.4057753714,155913.02562138936
4,129200.0,108495.30554672952,75590.69593450133,169065.5546936827
5,398100.0,344060.53972815245,239263.15064862542,432362.37383484305
6,162500.0,219045.78031447483,166087.71840333453,291162.5760570048
7,96100.0,88489.73997607734,71819.32713393788,116012.45956310842
8,150000.0,152828.55495485975,101566.47836321393,240385.0596768146
9,218800.0,219756.72546026643,159103.07942578127,337689.54502117465
10,288800.0,345531.65395377827,285983.29432094365,431518.99862829223
11,256300.0,279965.9471947376,169151.56771007786,412832.1998985583
12,214500.0,213213.20362135337,178131.16204559483,296204.99588938494
13,414300.0,352384.5447959172,184000.14412653306,435702.2621325651
14,223400.0,213173.34184249974,174548.27783186466,272209.80348023045
15,187500.0,276204.1591037522,158243.0574779767,374999.66016547376
16,176800.0,163539.2625282643,133005.20951160789,191907.54651340994
17,264700.0,262694.52023780416,177488.96734808473,329375.37557801156
18,43000.0,53793.17232745646,46693.10943024608,80939.8986639734
19,192100.0,185696.75121386637,158554.48300420493,211884.66143679025
20,220800.0,236021.9183145893,180834.89734115108,335094.3374823148
21,156300.0,89791.06645778942,62708.100572373434,166822.5540996431
22,375300.0,365549.1762726772,286753.6706601313,417878.50059184653
23,324000.0,303838.7008286539,206214.75380754322,379347.41792056675
24,176500.0,185691.4490058593,163706.12230846306,208469.3598313252
25,166700.0,187377.5883853474,165533.2659392921,213496.9248609572
26,371200.0,343021.5678490619,276278.79463300004,411141.99892153137
27,108000.0,168099.59616015383,118319.96766355737,235706.2495495841
28,285300.0,266289.8302470524,165393.6115378004,318611.4197470354
29,76200.0,128389.00558655396,85762.9291373289,199067.02342566405
30,420800.0,293861.2697353602,159073.63157844375,380567.14095187833
31,341600.0,345826.07375365274,302314.4063812308,388335.96665140626
32,125600.0,186718.6716295444,148064.05679603876,227204.8612132494
33,240400.0,293404.8584405754,250255.10305179717,359008.68492615235
34,209400.0,219767.51901122564,187805.8081226666,299969.67111532536
35,272600.0,187405.8839614781,131678.30340298207,271463.37215978315
36,97200.0,109759.89975275987,95580.2843482476,169574.27093307732
37,345900.0,279879.5488339036,212997.6103804807,355388.483551802
38,137600.0,148396.79253467463,112315.24189102184,199707.08022985005
39,286000.0,272661.5001181528,193901.19813112018,372429.0496163907
40,361200.0,367334.99573231913,307905.4751697647,418568.24245512066
41,216400.0,216797.32819206244,179089.30811332044,270036.8603287649
42,179500.0,174016.12825163436,147092.8251508699,219603.82808053106
43,204600.0,204267.25913421856,170964.47031950392,262221.3445602913
44,84800.0,99009.83877760006,71087.549856677,133912.0507063827
45,126500.0,146032.56268992717,127234.55128085401,193001.81646355393
46,82700.0,91524.0759276518,73774.89926255573,120952.574735703
47,458300.0,305363.0073077589,217827.13248916136,391632.77164220373
48,329200.0,263499.79919852235,194434.12235183816,348531.5647774528
49,165800.0,183587.09523818968,149618.3186435508,235983.3111662945
50,112500.0,124140.8869977491,95099.01810463856,211162.10042224388
51,122700.0,121137.46081001242,100299.7254740769,149621.9693851672
52,108800.0,144032.48570318928,108320.19763494853,247334.2663263948
53,265900.0,302099.80812604976,256370.29081799297,382386.4505516996
54,209800.0,236932.49698221282,175329.64743346098,337947.23745778424
55,166100.0,94330.70668423428,66985.2134906533,167063.10036452624
56,84600.0,108383.33818475892,86110.70711310109,149873.73980540506
57,70200.0,91274.9987452588,74556.73579527717,120105.44201306425
58,86400.0,100019.42811359616,88241.49360883281,147461.30451387572
59,87500.0,107850.0518618125,84391.91147975602,147337.32784876053
60,224600.0,238327.01115451395,189660.98858682346,308440.976509243
61,279400.0,253932.45948132916,192627.0136298164,318727.01405878394
62,238300.0,173616.34190663171,141388.2723670066,204390.99284211732
63,185700.0,230624.3564554539,181481.28138270567,295401.0748812975
64,75700.0,85116.24494129112,72121.56264522228,114833.59125146296
